Nombre,Área,Objetivo,KR,Tipo,Líder,Participantes,Fecha Inicio,Fecha Término,% Avance,Estado,Notas
Estandarización Proceso de pagos,GST | GST,Estandarización Proceso de pagos,,Objetivo,,,,,0%,Pendiente,
Instructivo revisión de pagos para BO,GST | GST,Estandarización Proceso de pagos,,Tarea,Jorge,,2026-03-31,2026-04-14,0%,Pendiente,
Estandar de revisión de pagos,GST | GST,Estandarización Proceso de pagos,,Tarea,Jorge,,2026-04-09,2026-04-23,0%,Pendiente,
Flujo de decisiones de casos excepcionales,GST | GST,Estandarización Proceso de pagos,,Tarea,Jorge,,2026-04-20,2026-05-04,0%,Pendiente,
Definición de métricas de medición del trabajo de BO,GST | GST,Estandarización Proceso de pagos,,Tarea,Jorge,,2026-04-30,2026-05-14,0%,Pendiente,
Definir proceso de revisión interna de checklist BO mensual aleatorio y matriz de priorización,GST | GST,Estandarización Proceso de pagos,,Tarea,Jorge,,2026-05-11,2026-05-25,0%,Pendiente,
Definir proceso de revisión aleatoria de BO a HEs fuera de cartera por mes,GST | GST,Estandarización Proceso de pagos,,Tarea,Jorge,,2026-05-20,2026-06-03,0%,Pendiente,
Testeo de IA Corporativa de revisión de pagos,GST | GST,Estandarización Proceso de pagos,,Tarea,Jorge,,2026-05-28,2026-06-16,0%,Pendiente,
Formaciones al ADC,GST | GST,Formaciones al ADC,,Objetivo,,,,,0%,Pendiente,
Taller de formación de buenas prácticas,GST | GST,Formaciones al ADC,,Tarea,Sibila,Isi,2026-06-01,2026-06-18,0%,Pendiente,
Definir proceso de lecciones aprendidas,GST | GST,Formaciones al ADC,,Tarea,Sibila,Isi,2026-04-20,2026-05-14,0%,Pendiente,
Realizar plan de comunicaciones anual,GST | GST,Formaciones al ADC,,Tarea,Sibila,Isi,2026-04-01,2026-04-24,0%,Pendiente,
Desarrollar 5 cápsulas de formación,GST | GST,Formaciones al ADC,,Tarea,Sibila,Isi,2026-05-04,2026-06-26,0%,Pendiente,
Implementación ATO GST,GST | GST,Implementación ATO GST,,Objetivo,,,,,0%,Pendiente,
Construcción de BT para licitar servicio,GST | GST,Implementación ATO GST,,Tarea,Jorge,,2026-04-16,,0%,Pendiente,
Evaluación de toma de control de servicio DRS,GST | GST,Implementación ATO GST,,Tarea,Jorge,,,,0%,Pendiente,
Construcción de sistema de trabajo ATO's,GST | GST,Implementación ATO GST,,Tarea,Jorge,,2026-04-22,,0%,Pendiente,
Construcción de herramientas de gestión para ATO's,GST | GST,Implementación ATO GST,,Tarea,Jorge,,,,0%,Pendiente,
Priorización de servicios y definición plan de implementación,GST | GST,Implementación ATO GST,,Tarea,Jorge,,,,0%,Pendiente,
Implementación Control Base del MODELO DE GESTIÓN DE PRODUCTIVIDAD DE SERVICIOS CONTRATADOS​,GST | GST,Implementación Control Base del MODELO DE GESTIÓN DE PRODUCTIVIDAD DE SERVICIOS CONTRATADOS​,,Objetivo,,,,,0%,Pendiente,
Definición de contratos piloto,GST | GST,Implementación Control Base del MODELO DE GESTIÓN DE PRODUCTIVIDAD DE SERVICIOS CONTRATADOS​,,Tarea,Melany,,2026-05-25,2026-05-28,0%,Pendiente,
Kickoff con AdC y Control de gestión de las áreas,GST | GST,Implementación Control Base del MODELO DE GESTIÓN DE PRODUCTIVIDAD DE SERVICIOS CONTRATADOS​,,Tarea,Melany,,2026-05-25,2026-05-28,0%,Pendiente,
Desarrollo de subproceso de planificación,GST | GST,Implementación Control Base del MODELO DE GESTIÓN DE PRODUCTIVIDAD DE SERVICIOS CONTRATADOS​,,Tarea,Melany,,2026-06-01,2026-06-30,0%,Pendiente,
Desarrollo de subproceso de categorización,GST | GST,Implementación Control Base del MODELO DE GESTIÓN DE PRODUCTIVIDAD DE SERVICIOS CONTRATADOS​,,Tarea,Melany,,2026-06-01,2026-06-30,0%,Pendiente,
Desarrollo subproceso control,GST | GST,Implementación Control Base del MODELO DE GESTIÓN DE PRODUCTIVIDAD DE SERVICIOS CONTRATADOS​,,Tarea,Melany,,2026-06-01,2026-06-30,0%,Pendiente,
Automatización de rutinas de trabajo,GST | GST,Automatización de rutinas de trabajo,,Objetivo,,,,,0%,Pendiente,
Alerta de vencimiento de BG,GST | GST,Automatización de rutinas de trabajo,,Tarea,Melany,,2026-05-04,2026-05-14,0%,Pendiente,
Alerta de incumplimiento comunicación LOD,GST | GST,Automatización de rutinas de trabajo,,Tarea,Melany,,2026-05-04,2026-05-14,0%,Pendiente,
Validación de AdC en inventario de contratos vigentes y alerta consumo acelerado,GST | GST,Automatización de rutinas de trabajo,,Tarea,Melany,,2026-05-04,2026-05-14,0%,Pendiente,
Alertas desviación FTE semanal,GST | GST,Automatización de rutinas de trabajo,,Tarea,Melany,,2026-05-04,2026-05-14,0%,Pendiente,
