Nombre,Área,Objetivo,KR,Tipo,Líder,Participantes,Fecha Inicio,Fecha Término,% Avance,Estado,Notas
A | Reajustes SAP,ABA | Planificación,A | Reajustes SAP,,Objetivo,,,,,0%,Pendiente,
01 | Estandarización del cálculo de reajustes,ABA | Planificación,A | Reajustes SAP,01 | Estandarización del cálculo de reajustes,Key Result,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",,,0%,Pendiente,
Coordinación con GST AMSA respecto estandarización del proceso,ABA | Planificación,A | Reajustes SAP,01 | Estandarización del cálculo de reajustes,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2026-04-10,2026-04-20,0%,Pendiente,
Seguimiento a GST AMSA,ABA | Planificación,A | Reajustes SAP,01 | Estandarización del cálculo de reajustes,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2026-04-20,2026-05-30,0%,Pendiente,
Confirmación de proceso estandarizado entre las áreas GST,ABA | Planificación,A | Reajustes SAP,01 | Estandarización del cálculo de reajustes,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2026-06-02,2026-06-20,0%,Pendiente,
02 | Gestión del cambio,ABA | Planificación,A | Reajustes SAP,02 | Gestión del cambio,Key Result,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",,,0%,Pendiente,
Definir bajada comunicacional con los involucrados,ABA | Planificación,A | Reajustes SAP,02 | Gestión del cambio,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2026-06-01,2026-06-20,0%,Pendiente,
Trabajar tempranamente con ingenieros de contrato por cambios en el sistema,ABA | Planificación,A | Reajustes SAP,02 | Gestión del cambio,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2026-06-01,2026-06-20,0%,Pendiente,
03 | Seguimiento carta gantt Accenture,ABA | Planificación,A | Reajustes SAP,03 | Seguimiento carta gantt Accenture,Key Result,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",,,0%,Pendiente,
Revisar y validar carta Gantt entregada por Accenture,ABA | Planificación,A | Reajustes SAP,03 | Seguimiento carta gantt Accenture,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2026-04-20,2026-04-30,0%,Pendiente,
Definir hitos críticos y responsables internos,ABA | Planificación,A | Reajustes SAP,03 | Seguimiento carta gantt Accenture,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2026-04-20,2026-04-30,0%,Pendiente,
Establecer instancia semanal de seguimiento,ABA | Planificación,A | Reajustes SAP,03 | Seguimiento carta gantt Accenture,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2025-05-02,2025-05-10,0%,Pendiente,
Levantar alertas tempranas de desviaciones,ABA | Planificación,A | Reajustes SAP,03 | Seguimiento carta gantt Accenture,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2025-05-02,2025-05-10,0%,Pendiente,
Reportar avance consolidado a stakeholders clave,ABA | Planificación,A | Reajustes SAP,03 | Seguimiento carta gantt Accenture,Tarea,C. Lazo,"C. Lazo, A. Sadykov, C. Páez",2025-05-20,2025-06-10,0%,Pendiente,
B| Implementación de iniciativas de mejora continua,ABA | Planificación,B| Implementación de iniciativas de mejora continua,,Objetivo,,,,,0%,Pendiente,
04 | Seguimiento Atomox (Implementación piloto de Atomox con evaluación de resultados y definición de escalamiento),ABA | Planificación,B| Implementación de iniciativas de mejora continua,04 | Seguimiento Atomox (Implementación piloto de Atomox con evaluación de resultados y definición de escalamiento),Key Result,C. Páez,C. Páez,,,0%,Pendiente,
Ajustes o correcciones según piloto,ABA | Planificación,B| Implementación de iniciativas de mejora continua,04 | Seguimiento Atomox (Implementación piloto de Atomox con evaluación de resultados y definición de escalamiento),Tarea,C. Páez,C. Páez,2026-04-01,2026-05-01,0%,Pendiente,
Feedback de la implementación por parte de los usuarios,ABA | Planificación,B| Implementación de iniciativas de mejora continua,04 | Seguimiento Atomox (Implementación piloto de Atomox con evaluación de resultados y definición de escalamiento),Tarea,C. Páez,C. Páez,2026-04-15,2026-05-15,0%,Pendiente,
Elaborar informe de implementación,ABA | Planificación,B| Implementación de iniciativas de mejora continua,04 | Seguimiento Atomox (Implementación piloto de Atomox con evaluación de resultados y definición de escalamiento),Tarea,C. Páez,C. Páez,2026-05-01,2026-05-15,0%,Pendiente,
Definir frecuencia reportabilidad a GAB (avances bimensuales. Mantener informado a GAB),ABA | Planificación,B| Implementación de iniciativas de mejora continua,04 | Seguimiento Atomox (Implementación piloto de Atomox con evaluación de resultados y definición de escalamiento),Tarea,C. Páez,C. Páez,2026-04-01,2026-04-07,0%,Pendiente,
Reportar a GAB,ABA | Planificación,B| Implementación de iniciativas de mejora continua,04 | Seguimiento Atomox (Implementación piloto de Atomox con evaluación de resultados y definición de escalamiento),Tarea,C. Páez,C. Páez,2026-04-20,2026-04-25,0%,Pendiente,
Definir si se extiende uso de Atomox de forma indefinida (hoy es un piloto de 5 meses),ABA | Planificación,B| Implementación de iniciativas de mejora continua,04 | Seguimiento Atomox (Implementación piloto de Atomox con evaluación de resultados y definición de escalamiento),Tarea,C. Páez,"C. Lazo, C. Páez",2026-06-01,2026-06-15,0%,Pendiente,
05 | Escrituración del 100% de procesos ABA (que lo requieran),ABA | Planificación,B| Implementación de iniciativas de mejora continua,05 | Escrituración del 100% de procesos ABA (que lo requieran),Key Result,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",,,0%,Pendiente,
Escrituración procesos priorizados (que requieren escriturar),ABA | Planificación,B| Implementación de iniciativas de mejora continua,05 | Escrituración del 100% de procesos ABA (que lo requieran),Tarea,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",2026-04-01,2026-05-31,0%,Pendiente,
Validación Jefe área,ABA | Planificación,B| Implementación de iniciativas de mejora continua,05 | Escrituración del 100% de procesos ABA (que lo requieran),Tarea,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",2026-06-01,2026-06-07,0%,Pendiente,
Validación GAB,ABA | Planificación,B| Implementación de iniciativas de mejora continua,05 | Escrituración del 100% de procesos ABA (que lo requieran),Tarea,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",2026-06-08,2026-06-15,0%,Pendiente,
06 | Actualización y simplificación de documentación de procesos ABA priorizados,ABA | Planificación,B| Implementación de iniciativas de mejora continua,06 | Actualización y simplificación de documentación de procesos ABA priorizados,Key Result,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",,,0%,Pendiente,
Actualización y simplificación procesos documentados ABA priorizados,ABA | Planificación,B| Implementación de iniciativas de mejora continua,06 | Actualización y simplificación de documentación de procesos ABA priorizados,Tarea,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",2026-05-15,2026-06-20,0%,Pendiente,
Validación Jefe Planificación,ABA | Planificación,B| Implementación de iniciativas de mejora continua,06 | Actualización y simplificación de documentación de procesos ABA priorizados,Tarea,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",2026-06-21,2026-06-25,0%,Pendiente,
Validación GAB,ABA | Planificación,B| Implementación de iniciativas de mejora continua,06 | Actualización y simplificación de documentación de procesos ABA priorizados,Tarea,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",2026-06-26,2026-06-30,0%,Pendiente,
07 | Actualizar repositorio procesos documentados ABA,ABA | Planificación,B| Implementación de iniciativas de mejora continua,07 | Actualizar repositorio procesos documentados ABA,Key Result,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",,,0%,Pendiente,
Cargar documentos actualizados en repositorio ABA,ABA | Planificación,B| Implementación de iniciativas de mejora continua,07 | Actualizar repositorio procesos documentados ABA,Tarea,"C. Páez, A. Sadykov","C. Páez, A. Sadykov",2026-06-29,2026-06-30,0%,Pendiente,
08 |Seguimiento y ejecución de los acuerdos de reuniones interáreas (GAF),ABA | Planificación,B| Implementación de iniciativas de mejora continua,08 |Seguimiento y ejecución de los acuerdos de reuniones interáreas (GAF),Key Result,,,,,0%,Pendiente,
Consolidar y priorizar acuerdos inter‑áreas,ABA | Planificación,B| Implementación de iniciativas de mejora continua,08 |Seguimiento y ejecución de los acuerdos de reuniones interáreas (GAF),Tarea,,,2026-04-10,2026-04-20,0%,Pendiente,
